Kelompok Umur Penduduk,,,
,Proyeksi Penduduk Provinsi Bali Menurut Kelompok Umur dan Jenis Kelamin (Ribu Jiwa),,
,Laki-laki,Perempuan,Laki-Laki + Perempuan
,2025,2025,2025
4/1/00,165.6,159,324.6
5/9/01,151.2,144.1,295.3
10/14/01,153.2,146,299.1
15-19,168.5,157.6,326.1
20-24,170.4,161.4,331.8
25-29,169.2,163,332.1
30-34,167.1,163,330.1
35-39,163.1,161.9,325
40-44,160.4,160.8,321.2
45-49,161.9,163.8,325.8
50-54,150.7,153.6,304.3
55-59,136,139.4,275.4
60-64,113,117.8,230.8
65-69,84.6,90.6,175.2
70-74,59.1,66,125.1
75+,60.4,78.9,139.3
Jumlah,2234.6,2226.7,4461.3