Kabupaten/Kota/Provinsi,[Proyeksi Penduduk SP2020] Penduduk Menurut Kabupaten/Kota dan Jenis Kelamin di Provinsi Kalimantan Tengah (ribu orang),
,Laki-laki,Perempuan
,2025,2025
Kotawaringin Barat,147.43,138.31
Kotawaringin Timur,233.5,219.37
Kapuas,223.72,211.35
Barito Selatan,69.94,67.11
Barito Utara,85.12,79.5
Sukamara,35.97,33.01
Lamandau,56.01,49.2
Seruyan,93.57,83.75
Katingan,90.12,84.22
Pulang Pisau,72.92,67.86
Gunung Mas,77.73,70.51
Barito Timur,61.39,58.82
Murung Raya,62.17,58.06
Palangka Raya,157.56,156.8
Kalimantan Tengah,1467.14,1377.85