Kabupaten/Kota &amp; Provinsi,[SK.Kp.015] [Proyeksi SP2020] Jumlah Penduduk Hasil Proyeksi Sensus Penduduk 2020 menurut Jenis Kelamin dan Kabupaten/Kota (Jiwa),
,Laki-Laki,Perempuan
,2025,2025
SIMEULUE,51313,48823
ACEH SINGKIL,69766,68304
ACEH SELATAN,122766,121706
ACEH TENGGARA,119721,118189
ACEH TIMUR,225654,223426
ACEH TENGAH,116271,113337
ACEH BARAT,105427,103385
ACEH BESAR,218782,215260
PIDIE,227933,229009
BIREUEN,230093,234683
ACEH UTARA,319875,319082
ACEH BARAT DAYA,81579,79762
GAYO LUES,54561,54111
ACEH TAMIANG,158535,154285
NAGAN RAYA,89883,88577
ACEH JAYA,51037,49701
BENER MERIAH,88596,86228
PIDIE JAYA,84068,84478
BANDA ACEH,134451,133511
SABANG,22133,21909
LANGSA,100593,100465
LHOKSEUMAWE,101079,102331
SUBULUSSALAM,51396,49886
PROVINSI ACEH,2825512,2800448
,,
Catatan,"Sumber: <a style=""color: #0093dd"" href=""https://aceh.bps.go.id/id/publication/2023/07/20/c5b064a1664cac76d5aa7ed7/proyeksi-penduduk-kabupaten-kota-provinsi-aceh-2020-2035-hasil-sensus-penduduk-2020.html"">Proyeksi Penduduk Kabupaten/Kota Provinsi Aceh 2020-2035 Hasil Sensus Penduduk 2020</a>",