Kabupaten/Kota 17,Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota (Hasil SP2020) (Jiwa),
,Laki-Laki,Perempuan
,2025,2025
Sumatera Selatan,4542623,4385892
Ogan Komering Ulu,197773,189043
Ogan Komering Ilir,418678,397827
Muara Enim,330191,317745
Lahat,232641,222940
Musi Rawas,212339,203405
Musi Banyuasin,338072,321230
Banyuasin,459026,438399
Ogan Komering Ulu Selatan,224464,210325
Ogan Komering Ulu Timur,347480,332614
Ogan Ilir,223544,217639
Empat Lawang,179062,169912
Pali,105028,103004
Musi Rawas Utara,102266,98533
Palembang,866246,863597
Prabumulih,103479,102426
Pagar Alam,76979,73554
Lubuk Linggau,125355,123699