Kabupaten Kota,Jumlah Penduduk menurut Jenis Kelamin dan Kabupaten/Kota (Jiwa),
,Perempuan,Laki-Laki
,2025,2025
Sumatera Utara,7862993,7922846
Nias,80513,77000
Mandailing Natal,257321,256215
Tapanuli Selatan,158889,161441
Tapanuli Tengah,199602,203302
Tapanuli Utara,164980,165876
Toba,109696,109884
Labuhan Batu,259593,267450
Asahan,408099,416498
Simalungun,529849,537650
Dairi,167479,168924
Karo,217636,214413
Deli Serdang,1034044,1044002
Langkat,539818,550151
Nias Selatan,197157,200067
Humbang Hasundutan,104359,105101
Pakpak Bharat,28297,28949
Samosir,72303,72510
Serdang Bedagai,347691,352386
Batu Bara,220718,223280
Padang Lawas Utara,140132,145527
Padang Lawas,142399,143305
Labuhanbatu Selatan,167929,174296
Labuanbatu Utara,205065,210420
Nias Utara,81198,80244
Nias Barat,50859,48265
Sibolga,45879,46365
Tanjungbalai,92941,95122
Pematangsiantar,141149,138049
Tebing Tinggi,91989,90979
Medan,1254871,1243422
Binjai,155470,155462
Padangsidimpuan,119690,124153
Gunungsitoli,75378,72138
,,
Catatan,Data Proyeksi Penduduk Sp2010,* Backcasting untuk Nias dan Nias Barat