Kelompok Umur,Penduduk (Laki-Laki) (Ribu),Penduduk (Perempuan) (Ribu),Penduduk (Laki-Laki + Perempuan) (Ribu)
4/1/00,136.6,130.9,267.6
5/9/01,139.8,134.1,273.9
10/14/01,136.8,131.5,268.3
15-19,135.3,126.3,261.6
20-24,133.8,124.4,258.2
25-29,136,126.5,262.5
30-34,131,122.5,253.5
35-39,122.5,116,238.4
40-44,113.6,108.1,221.8
45-49,105.5,100.8,206.3
50-54,92.4,88.4,180.9
55-59,76.9,73.7,150.6
60-64,60.7,58.6,119.3
65-69,43.3,42.3,85.6
70-74,28.5,28.5,57
75+,24.5,26.2,50.7
Jumlah/Total,1617.2,1538.9,3156.1